564,564
730,730
770,770
910,910
1035,1035
1065,1065
953,953
1005,1005
996,996
901,901
939,939
988,988
1020,1020
876,876
870,870
809,809
884,884
926,926
829,829
712,712
624,624
632,632
596,596
510,510
526,526
99,99
85,85
85,85
87,87
93,93
57,57
101,101
177,177
221,221
332,332
338,338
263,263
304,304
358,358
385,385
397,397
426,426
461,461
418,418
448,448
432,432
416,416
425,425
439,439
423,423
370,370
404,404
387,387
185,185
184,184
104,104
108,108
121,121
120,120
127,127
52,52
93,93
151,151
161,161
160,160
177,177
193,193
119,119
143,143
151,151
138,138
143,143
146,146
173,173
226,226
206,206
243,243
238,238
294,294
226,226
209,209
222,222
136,136
129,129
133,133
182,182
253,253
218,218
216,216
203,203
143,143
103,103
162,162
180,180
223,223
282,282
262,262
289,289
260,260
271,271
248,248
234,234
309,309
319,319
266,266
207,207
198,198
223,223
250,250
193,193
144,144
121,121
104,104
161,161
178,178
161,161
204,204
195,195
189,189
214,214
204,204
220,220
219,219
154,154
118,118
124,124
174,174
232,232
316,316
340,340
398,398
401,401
392,392
349,349
388,388
345,345
363,363
516,516
460,460
411,411
413,413
331,331
367,367
330,330
288,288
293,293
225,225
226,226
200,200
203,203
197,197
1185,1185
1081,1081
1174,1174
1336,1336
1174,1174
839,839
657,657
507,507
274,274
241,241
187,187
165,165
86,86
93,93
57,57
93,93
131,131
123,123
109,109
118,118
128,128
246,246
231,231
309,309
217,217
87,87
85,85
79,79
73,73
92,92
97,97
96,96
172,172
179,179
178,178
183,183
150,150
174,174
166,166
161,161
151,151
169,169
94,94
99,99
134,134
152,152
153,153
132,132
134,134
141,141
23,23
21,21
95,95
90,90
89,89
90,90
103,103
67,67
24,24
53,53
197,197
202,202
120,120
139,139
215,215
196,196
229,229
173,173
178,178
198,198
192,192
316,316
263,263
250,250
237,237
302,302
292,292
318,318
294,294
245,245
246,246
252,252
211,211
218,218
150,150
87,87
96,96
56,56
116,116
95,95
87,87
86,86
32,32
28,28
29,29
12,12
12,12
12,12
147,147
140,140
161,161
183,183
224,224
325,325
288,288
263,263
320,320
365,365
331,331
316,316
369,369
303,303
267,267
232,232
241,241
237,237
196,196
137,137
2858,2858
2781,2781
2891,2891
123,123
236,236
314,314
256,256
267,267
275,275
370,370
362,362
340,340
320,320
221,221
265,265
248,248
316,316
342,342
321,321
319,319
335,335
317,317
328,328
306,306
305,305
269,269
273,273
261,261
238,238
208,208
105,105
141,141
144,144
170,170
167,167
179,179
178,178
177,177
203,203
236,236
258,258
251,251
265,265
319,319
287,287
293,293
211,211
142,142
176,176
184,184
201,201
193,193
157,157
75,75
116,116
127,127
98,98
106,106
126,126
63,63
91,91
115,115
112,112
670,670
2941,2941
2848,2848
2924,2924
213,213
241,241
260,260
242,242
250,250
316,316
325,325
275,275
283,283
301,301
373,373
428,428
407,407
414,414
438,438
526,526
478,478
384,384
374,374
462,462
398,398
366,366
311,311
227,227
148,148
137,137
144,144
149,149
126,126
78,78
95,95
55,55
57,57
69,69
88,88
105,105
107,107
228,228
249,249
222,222
133,133
131,131
126,126
146,146
117,117
182,182
146,146
161,161
193,193
217,217
187,187
153,153
161,161
155,155
213,213
142,142
196,196
189,189
187,187
190,190
184,184
224,224
322,322
296,296
274,274
278,278
172,172
202,202
214,214
182,182
179,179
102,102
95,95
141,141
136,136
175,175
187,187
175,175
211,211
239,239
251,251
245,245
241,241
209,209
223,223
290,290
272,272
268,268
228,228
211,211
157,157
290,290
2003,2003
188,188
700,700
556,556
931,931
117,117
450,450
221,221
195,195
243,243
233,233
274,274
410,410
414,414
417,417
820,820
1010,1010
903,903
965,965
837,837
897,897
207,207
199,199
241,241
292,292
484,484
91,91
88,88
91,91
402,402
534,534
561,561
584,584
642,642
593,593
592,592
625,625
719,719
810,810
790,790
789,789
863,863
722,722
714,714
