timestamp,count,count2
1,182.478,182.478
2,176.231,176.231
3,183.917,183.917
4,177.798,177.798
5,165.469,165.469
6,181.878,181.878
7,184.502,184.502
8,183.303,183.303
9,177.578,177.578
10,171.641,171.641
11,191.014,191.014
12,184.068,184.068
13,188.457,188.457
14,175.739,175.739
15,175.524,175.524
16,189.128,189.128
17,176.885,176.885
18,167.14,167.14
19,173.723,173.723
20,168.46,168.46
21,177.623,177.623
22,183.888,183.888
23,167.487,167.487
24,165.572,165.572
25,170.48,170.48
26,172.474,172.474
27,166.448,166.448
28,163.098,163.098
29,163.544,163.544
30,163.816,163.816
31,186.38,186.38
32,178.898,178.898
33,166.19,166.19
34,165.544,165.544
35,166.867,166.867
36,178.212,178.212
37,169.749,169.749
38,169.483,169.483
39,165.488,165.488
40,159.746,159.746
41,172.564,172.564
42,166.777,166.777
43,168.385,168.385
44,165.223,165.223
45,157.756,157.756
46,175.925,175.925
47,166.959,166.959
48,164.471,164.471
49,162.761,162.761
50,163.818,163.818
51,169.341,169.341
52,165.941,165.941
53,164.946,164.946
54,156.219,156.219
55,159.29,159.29
56,161.539,161.539
57,157.605,157.605
58,151.828,151.828
59,154.479,154.479
60,151.459,151.459
61,180.53,180.53
62,171.3,171.3
63,171.844,171.844
64,163.034,163.034
65,153.117,153.117
66,157.77,157.77
67,165.823,165.823
68,163.57,163.57
69,159.084,159.084
70,162.019,162.019
71,167.267,167.267
72,167.108,167.108
73,166.51,166.51
74,158.249,158.249
75,158.625,158.625
76,168.985,168.985
77,156.887,156.887
78,155.343,155.343
79,151.819,151.819
80,160.722,160.722
81,168.085,168.085
82,163.103,163.103
83,158.216,158.216
84,157.37,157.37
85,152.185,152.185
86,159.28,159.28
87,154.135,154.135
88,148.597,148.597
89,148.528,148.528
90,144.448,144.448
91,168.824,168.824
92,161.965,161.965
93,148.596,148.596
94,148.214,148.214
95,148.805,148.805
96,156.696,156.696
97,154.009,154.009
98,147.022,147.022
99,140.947,140.947
100,146.761,146.761
