timestamp,value
1,42.652
2,41.362
3,43.408
4,40.262
5,40.328
6,42.652
7,39.836
8,42.57
9,45.212
10,41.15
11,42.91
12,43.756
13,38.522
14,42.488
15,41.268
16,42.136
17,42.066
18,43.544
19,38.404
20,42.018
21,44.872
22,40.658
23,42.276
24,43.052
25,43.568
26,38.356
27,39.788
28,41.83
29,39.038
30,42.184
31,41.76
32,43.99
33,41.476
34,39.236
35,41.798
36,39.722
37,40.61
38,44.414
39,38.404
40,41.982
41,42.066
42,42.336
43,41.01
44,43.122
45,39.954
46,40.516
47,45.396
48,38.188
49,42.536
50,38.882
51,40.766
52,40.4
53,41.808
54,42.324
55,44.152
56,40.234
57,40.892
58,41.494
59,40.61
60,42.484
61,38.774
62,45.14
63,40.122
64,41.01
65,43.708
66,40.61
67,43.498
68,42.606
69,46.362
70,40.306
71,46.478
72,38.808
73,41.878
74,44.254
75,41.57
76,39.206
77,40.482
78,43.594
79,41.808
80,40.752
81,46.314
82,38.99
83,41.666
84,39.39
85,40.812
86,42.204
87,44.954
88,41.55
89,42.09
90,42.178
91,43.24
92,38.27
93,42.206
94,44.156
95,41.332
96,42.276
97,41.15
98,41.648
99,41.298
100,38.616
101,41.15
102,44.718
103,41.924
104,42.042
105,42.536
106,45.164
107,39.142
108,41
109,40.576
110,44.234
111,42.816
112,41.314
113,40.156
114,45.684
115,39.508
116,42.36
117,46.882
118,40.188
119,40.576
120,41.924
121,40.68
122,39.152
123,45
124,38.898
125,41.69
126,43.568
127,42.23
128,42.3
129,44.328
130,40.172
131,41.292
132,44.812
133,43.17
134,42.7
135,45.716
136,39.202
137,41.572
138,44.164
139,40.798
140,42.066
141,43.708
142,41.22
143,41.394
144,41.996
145,40.102
146,42.37
147,38.858
148,42.16
149,41.422
150,43.146
151,40.54
152,43.988
153,41.126
154,40.868
155,46.478
156,41.76
157,43.538
158,44.014
159,44.406
160,38.25
161,41.022
162,43.926
163,39.578
164,43.638
165,44.578
166,38.92
167,40.538
168,43.498
169,39.468
170,39.366
171,42.498
172,38.826
173,41.182
174,42.866
175,40.932
176,42.538
177,47.37
178,38.81
179,45.114
180,45.438
181,42.864
182,44.738
183,46.43
184,41.028
185,40.362
186,46.266
187,39.342
188,44.248
189,42.63
190,42.77
191,43.944
192,40.774
193,43.728
194,48.756
195,41.29
196,41.572
197,42.262
198,45.6
199,41.15
200,44.302
201,41.972
202,42.324
203,43.028
204,44.648
205,43.404
206,38.052
207,41.338
208,40.602
209,40.61
210,42.18
211,40.446
212,45.188
213,44.132
214,41.644
215,39.248
216,42.042
217,40.364
218,42.182
219,38.79
220,42.04
221,43.38
222,41.08
223,40.68
224,41.878
225,46.488
226,38.028
227,40.916
228,40.822
229,41.864
230,41.456
231,44.804
232,38.99
233,40.57
234,45.164
235,38.316
236,42.112
237,42.488
238,38.592
239,40.492
240,41.748
241,43.286
242,41.69
243,45.702
244,38.85
245,38.592
246,42.066
247,43.094
248,40.442
249,45.282
250,38.826
251,41.948
252,37.746
253,40.282
254,43.98
255,43.176
256,38.998
257,43.146
258,42.816
259,40.47
260,43.192
261,41.666
262,38.756
263,40.22
264,40.564
265,41.62
266,39.108
267,42.018
268,38.498
269,43.046
270,39.954
271,43.226
272,42.348
273,41.456
274,39.508
275,41.032
276,40.634
277,41.994
278,45.798
279,39.624
280,42.376
281,40.634
282,41.314
283,40.634
284,42.84
285,40.306
286,40.564
287,40.704
288,42.16
289,39.264
290,44.178
291,38.494
292,41.962
293,40.586
294,43.732
295,39.32
296,42.556
297,40.822
298,43.404
299,43.334
300,42.02
301,39.414
302,42.736
303,42.196
304,38.99
305,40.822
306,42.324
307,40.592
308,42.846
309,46.784
310,36.784
311,40.936
312,41.832
313,43.672
314,39.08
315,41.582
316,39.442
317,42.018
318,40.736
319,42.394
320,40.04
321,44.374
322,41.804
323,39.236
324,40.446
325,42.442
326,40.452
327,45.418
328,38.076
329,40.798
330,43.602
331,39.574
332,40.69
333,43.968
334,41.198
335,43.15
336,42.23
337,44.56
338,40.422
339,41.01
340,38.544
341,40.438
342,42.29
343,40.576
344,41.262
345,44.156
346,42.724
347,36.73
348,45.47
349,38.568
350,44.062
351,41.552
352,41.256
353,43.544
354,42.816
355,42.91
356,41.15
357,40.846
358,42.212
359,41.808
360,43.192
361,41.738
362,38.934
363,40.816
364,40.542
365,43.48
366,42.02
367,43.336
368,37.5
369,42.456
370,40.64
371,42.418
372,42.204
373,42.35
374,42.136
375,40.14
376,39.742
377,40.638
378,42.488
379,39.28
380,31.382
381,34.85
382,34.594
383,38.286
384,32.794
385,31.408
386,33.252
387,33.364
388,33.268
389,34.226
390,36.666
391,36.566
392,30.634
393,35.728
394,35.026
395,36.292
396,30.098
397,33.346
398,33.334
399,33.874
400,37.982
401,28.616
402,36.198
403,32.296
404,36.266
405,34.742
406,35.516
407,31.41
408,35.868
409,32.888
410,33.45
411,33.122
412,33.356
413,35
414,32.888
415,33.258
416,34.87
417,37.536
418,32.534
419,33.216
420,37.834
421,25.258
422,2.7
423,2.606
424,2.77
425,2.598
426,4.352
427,2.77
428,2.722
429,4.132
430,2.7
431,2.676
432,2.794
433,2.582
434,2.676
435,2.512
436,2.724
437,2.676
438,4.414
439,2.84
440,2.912
441,6.22
442,2.724
443,2.816
444,2.606
445,2.724
446,2.606
447,2.7
448,2.724
449,2.596
450,4.352
451,2.77
452,2.816
453,4.038
454,2.794
455,2.724
456,2.722
457,2.768
458,2.77
459,2.606
460,2.668
461,2.662
462,4.4
463,2.756
464,2.84
465,4.342
466,2.746
467,2.606
468,2.63
469,2.816
470,2.644
471,2.734
472,2.7
473,2.7
474,4.414
475,2.652
476,2.888
477,4.084
478,2.746
479,2.652
480,2.63
481,2.652
482,2.558
483,2.7
484,2.794
485,2.464
486,4.188
487,2.71
488,2.792
489,4.388
490,2.77
491,2.852
492,2.7
493,2.888
494,2.746
495,2.676
496,2.84
497,2.77
498,4.46
499,2.958
500,2.982
501,4.32
502,3.126
503,2.724
504,2.794
505,2.606
506,2.55
507,2.568
508,2.84
509,2.606
510,4.32
511,2.77
512,2.982
513,4.39
514,3.556
515,3.382
516,3.486
517,3.568
518,3.38
519,3.122
520,3.356
521,3.544
522,5.234
523,3.51
524,3.512
525,5.046
526,3.686
527,3.522
528,3.804
529,3.802
530,3.946
531,3.78
532,3.968
533,3.742
534,5.916
535,3.686
536,3.568
537,5.212
538,3.498
539,3.262
540,3.286
541,3.85
542,3.92
543,3.592
544,3.404
545,3.192
546,5.094
547,3.334
548,3.616
549,5.376
550,3.544
551,3.592
552,3.24
553,3.38
554,2.724
555,2.746
556,2.676
557,2.582
558,4.954
559,3.332
560,3.428
561,4.954
562,3.38
563,3.45
564,3.192
565,3.334
566,3.122
567,3.146
568,3.404
569,2.934
570,5.188
571,3.45
572,2.724
573,4.32
574,3.544
575,3.192
576,3.216
577,3.522
578,2.7
579,3.498
580,3.522
581,3.216
582,4.812
583,2.794
584,2.958
585,4.132
586,2.768
587,2.63
588,2.606
589,2.536
590,2.606
591,2.692
592,2.568
593,56.854
594,38.874
595,34.202
596,35.962
597,34.46
598,32.726
599,35
600,31.08
601,34.32
602,34.084
603,31.268
604,33.18
605,35.046
606,32.91
607,32.808
608,34.366
609,36.476
610,34.084
611,33.004
612,35.212
613,30.58
614,33.498
615,35.62
616,32.84
617,32.37
618,35.192
619,34.632
620,35.938
621,36.738
622,34.062
623,31.972
